1,1,13262,2018-08-10,8 
1,2,18507,2017-10-30,11 
1,3,9052,2018-04-17,20 
1,4,911,2015-07-12,17 
1,5,902,2016-12-23,1 
1,6,7794,2018-06-19,8 
1,7,5275,2019-07-30,2 
2,8,17996,2017-05-07,5 
2,9,10101,2015-06-07,4 
2,10,14371,2018-11-19,9 
2,11,2567,2017-03-05,4 
2,12,14967,2015-12-14,5 
2,13,1339,2017-05-30,2 
2,14,15621,2017-08-07,1 
3,15,7705,2018-01-21,1 
3,16,6519,2017-02-18,1 
3,17,13712,2017-05-03,8 
3,18,10091,2016-07-17,1 
3,19,11542,2018-07-03,6 
3,20,5061,2018-02-08,2 
3,21,12083,2017-04-01,3 
3,22,3464,2017-04-04,6 
3,23,11207,2016-03-30,7 
3,24,17295,2017-01-12,9 
3,25,7891,2015-08-28,2 
3,26,15707,2018-04-16,7 
3,27,10591,2018-01-02,8 
3,28,18221,2015-08-02,9 
3,29,7287,2016-04-22,9 
3,30,19334,2018-06-03,6 
3,31,6893,2019-09-07,2 
3,32,4990,2019-08-20,5 
3,33,17594,2018-02-25,6 
4,34,5400,2016-12-30,2 
4,35,2238,2019-08-23,4 
4,36,12989,2017-10-17,5 
4,37,4335,2019-03-17,2 
4,38,5246,2018-05-26,5 
4,39,4561,2017-12-08,2 
4,40,17389,2016-01-04,3 
4,41,17068,2018-01-03,5 
4,42,11575,2015-05-14,3 
4,43,16715,2016-08-27,4 
4,44,12517,2018-06-13,1 
4,45,16076,2016-09-28,3 
4,46,10914,2018-02-07,5 
4,47,10278,2016-01-21,5 
4,48,2890,2018-04-16,4 
4,49,19684,2019-11-25,1 
4,50,2700,2018-11-10,3 
4,51,8637,2015-01-30,3 
4,52,16429,2016-12-27,5 
4,53,15864,2018-01-11,3 
4,54,5333,2015-12-15,2 
5,55,9928,2017-01-22,12 
5,56,11533,2015-04-09,5 
5,57,12405,2017-07-28,11 
5,58,5142,2019-07-02,14 
5,59,12575,2019-07-11,5 
5,60,9367,2018-01-26,3 
5,61,9074,2016-08-14,6 
5,62,3144,2017-07-07,4 
5,63,14238,2017-11-04,10 
5,64,17678,2018-02-14,14 
5,65,14818,2018-04-27,2 
5,66,17406,2017-12-17,15 
6,67,12388,2015-08-26,19 
7,68,8956,2018-12-29,1 
7,69,13891,2015-05-24,3 
7,70,4314,2018-02-23,2 
7,71,7088,2019-12-28,5 
7,72,1186,2015-10-11,5 
7,73,11662,2018-02-01,1 
7,74,936,2016-11-03,4 
7,75,17789,2015-12-30,1 
7,76,16337,2015-07-02,3 
7,77,3357,2016-11-15,2 
7,78,9622,2017-07-11,4 
7,79,18622,2018-08-20,2 
8,80,2300,2018-04-12,2 
8,81,12977,2018-07-07,2 
9,82,19992,2019-02-11,5 
9,83,1665,2016-12-31,4 
9,84,15942,2018-11-03,1 
9,85,10320,2015-05-27,7 
9,86,15599,2019-09-09,14 
9,87,19024,2018-11-20,5 
9,88,7903,2016-02-18,17 
9,89,11306,2015-08-17,1 
9,90,1591,2016-03-29,6 
9,91,16841,2019-11-05,6 
9,92,11074,2016-04-13,16 
9,93,1767,2019-03-10,16 
10,94,19410,2016-05-03,7 
10,95,16855,2017-04-10,9 
10,96,14538,2015-05-27,1 
10,97,9469,2017-05-08,4 
10,98,16929,2019-04-18,3 
10,99,1140,2019-06-18,10 
10,100,10025,2016-11-06,6 
10,101,5645,2019-11-12,10 
10,102,5393,2016-05-11,5 
10,103,18435,2019-09-05,10 
10,104,18531,2019-11-22,3 
11,105,7606,2019-01-02,18 
11,106,2491,2017-07-26,13 
11,107,5461,2017-09-04,7 
11,108,1626,2016-08-17,11 
11,109,10346,2017-03-01,2 
11,110,3187,2017-03-17,9 
11,111,15142,2019-08-12,1 
12,112,4997,2016-12-05,2 
12,113,3609,2017-05-31,3 
12,114,5334,2015-08-23,4 
12,115,4793,2016-05-03,2 
12,116,10159,2018-04-13,6 
12,117,7563,2016-01-13,10 
12,118,1316,2019-12-10,4 
12,119,9121,2017-05-29,6 
12,120,5242,2018-07-25,3 
12,121,13384,2015-04-17,4 
12,122,16150,2017-02-26,6 
12,123,294,2018-06-22,8 
12,124,7881,2017-12-10,9 
12,125,10420,2019-12-11,9 
12,126,11968,2015-05-30,1 
13,127,13769,2015-10-08,19 
13,128,666,2019-12-24,6 
13,129,7771,2018-11-04,13 
13,130,261,2016-02-16,1 
13,131,14768,2018-01-31,6 
13,132,14038,2015-04-30,12 
14,133,5520,2019-11-03,14 
14,134,18000,2019-03-10,8 
14,135,7911,2019-02-21,3 
14,136,3946,2018-01-19,17 
14,137,2414,2015-05-02,16 
14,138,11143,2017-11-04,9 
14,139,6512,2015-06-06,13 
14,140,13744,2019-05-28,10 
14,141,3370,2016-06-01,4 
15,142,8342,2018-07-21,2 
15,143,4852,2015-08-29,2 
15,144,15338,2018-04-29,1 
15,145,15970,2017-10-19,2 
15,146,15944,2017-03-14,1 
15,147,3040,2016-04-10,3 
15,148,19819,2017-06-02,5 
15,149,2693,2016-08-01,3 
15,150,3787,2015-03-08,5 
15,151,12242,2018-02-13,4 
15,152,17255,2015-02-25,1 
15,153,15083,2015-02-03,2 
15,154,15966,2018-02-02,3 
15,155,14850,2015-11-24,5 
15,156,7714,2016-01-17,3 
15,157,4347,2019-03-21,1 
15,158,4245,2018-11-13,4 
15,159,11322,2017-11-16,1 
15,160,17933,2016-04-07,4 
16,161,14148,2016-09-04,12 
16,162,14040,2015-09-26,6 
16,163,14210,2018-11-21,4 
16,164,4321,2017-05-02,9 
16,165,10437,2019-02-16,9 
16,166,19701,2019-12-27,10 
16,167,469,2016-12-29,6 
16,168,6770,2017-09-14,7 
16,169,15151,2015-11-03,11 
